onset	duration	trial_type	response_time
0.766	2.159	100inc_excluded	n/a
2.959	2.774	100inc_included	0.516
5.816	2.077	100inc_excluded	n/a
7.909	3.090	100inc_included	0.546
11.066	2.542	100inc_excluded	n/a
13.624	3.323	100inc_included	0.549
33.007	13.000	Fixation	n/a
30.038	2.592	66inc_excluded	n/a
32.646	2.326	66inc_excluded	n/a
34.989	3.190	66inc_included	0.535
38.245	2.625	66inc_included	0.572
40.953	2.608	66inc_excluded	n/a
43.578	1.944	66inc_excluded	n/a
45.538	2.724	66inc_excluded	n/a
64.273	13.000	Fixation	n/a
61.304	2.293	0inc_excluded	n/a
63.613	2.127	0inc_excluded	n/a
65.756	2.625	0inc_excluded	n/a
68.397	2.558	0inc_excluded	n/a
70.972	2.326	0inc_excluded	n/a
73.315	2.176	0inc_excluded	n/a
75.508	2.027	0inc_excluded	n/a
77.551	2.525	0inc_excluded	n/a
80.093	2.874	0inc_excluded	n/a
98.978	13.000	Fixation	n/a
96.008	2.675	33inc_excluded	n/a
98.700	2.043	33inc_excluded	n/a
100.760	2.077	33inc_excluded	n/a
102.853	2.575	33inc_excluded	n/a
105.445	2.758	33inc_included	0.681
108.269	2.675	33inc_excluded	n/a
110.960	2.625	33inc_excluded	n/a
113.602	2.492	33inc_excluded	n/a
132.104	13.000	Fixation	n/a
129.135	2.409	66inc_excluded	n/a
131.561	2.741	66inc_excluded	n/a
134.318	3.323	66inc_included	0.635
137.707	2.841	66inc_included	0.680
140.631	2.708	66inc_excluded	n/a
143.356	2.309	66inc_excluded	n/a
145.682	2.857	66inc_excluded	n/a
164.549	13.000	Fixation	n/a
161.580	2.874	100inc_excluded	n/a
164.471	2.990	100inc_included	0.669
167.544	2.891	100inc_excluded	n/a
170.452	3.107	100inc_included	0.577
173.625	2.691	100inc_excluded	n/a
176.333	3.273	100inc_included	0.594
195.666	13.000	Fixation	n/a
192.697	2.907	33inc_excluded	n/a
195.621	2.774	33inc_excluded	n/a
198.412	1.960	33inc_excluded	n/a
200.389	2.093	33inc_excluded	n/a
202.498	3.622	33inc_included	0.658
206.186	1.944	33inc_excluded	n/a
208.147	2.857	33inc_excluded	n/a
211.021	2.492	33inc_excluded	n/a
229.523	13.000	Fixation	n/a
226.554	2.127	0inc_excluded	n/a
228.697	2.392	0inc_excluded	n/a
231.106	2.691	0inc_excluded	n/a
233.814	2.243	0inc_excluded	n/a
236.073	1.960	0inc_excluded	n/a
238.050	1.994	0inc_excluded	n/a
240.060	2.276	0inc_excluded	n/a
242.353	2.791	0inc_excluded	n/a
245.161	2.043	0inc_excluded	n/a
263.214	13.000	Fixation	n/a
260.245	2.708	33inc_excluded	n/a
262.970	2.808	33inc_excluded	n/a
265.794	1.960	33inc_excluded	n/a
267.771	2.608	33inc_excluded	n/a
270.396	3.256	33inc_included	0.632
273.735	2.459	33inc_excluded	n/a
276.211	2.509	33inc_excluded	n/a
278.736	2.492	33inc_excluded	n/a
297.238	13.000	Fixation	n/a
294.269	1.927	100inc_excluded	n/a
296.213	3.306	100inc_included	0.688
299.602	2.425	100inc_excluded	n/a
302.044	2.891	100inc_included	0.528
305.018	2.774	100inc_excluded	n/a
307.809	2.658	100inc_included	0.529
326.544	13.000	Fixation	n/a
323.575	2.027	0inc_excluded	n/a
325.618	2.509	0inc_excluded	n/a
328.143	2.243	0inc_excluded	n/a
330.403	2.043	0inc_excluded	n/a
332.463	2.791	0inc_excluded	n/a
335.270	2.309	0inc_excluded	n/a
337.596	2.658	0inc_excluded	n/a
340.271	2.542	0inc_excluded	n/a
342.829	2.010	0inc_excluded	n/a
360.850	13.000	Fixation	n/a
357.880	2.259	66inc_excluded	n/a
360.156	2.492	66inc_excluded	n/a
362.665	2.791	66inc_included	0.704
365.523	2.824	66inc_included	0.683
368.413	2.857	66inc_excluded	n/a
371.287	2.442	66inc_excluded	n/a
373.746	2.127	66inc_excluded	n/a
391.883	13.000	Fixation	n/a
388.914	1.960	0inc_excluded	n/a
390.891	2.774	0inc_excluded	n/a
393.682	2.675	0inc_excluded	n/a
396.373	2.824	0inc_excluded	n/a
399.214	2.010	0inc_excluded	n/a
401.241	2.608	0inc_excluded	n/a
403.866	2.509	0inc_excluded	n/a
406.391	2.043	0inc_excluded	n/a
408.451	2.027	0inc_excluded	n/a
426.488	13.000	Fixation	n/a
423.519	2.193	100inc_excluded	n/a
425.728	3.406	100inc_included	0.660
429.217	2.226	100inc_excluded	n/a
431.460	3.140	100inc_included	0.571
434.683	2.110	100inc_excluded	n/a
436.809	2.924	100inc_included	0.595
455.810	13.000	Fixation	n/a
452.841	2.010	66inc_excluded	n/a
454.868	2.210	66inc_excluded	n/a
457.094	2.691	66inc_included	0.556
459.868	3.406	66inc_included	0.572
463.357	2.309	66inc_excluded	n/a
465.683	2.542	66inc_excluded	n/a
468.241	2.043	66inc_excluded	n/a
486.295	13.000	Fixation	n/a
483.326	2.558	33inc_excluded	n/a
485.901	2.492	33inc_excluded	n/a
488.410	2.259	33inc_excluded	n/a
490.686	2.143	33inc_excluded	n/a
492.845	2.874	33inc_included	0.710
495.802	2.907	33inc_excluded	n/a
498.726	2.027	33inc_excluded	n/a
500.770	2.542	33inc_excluded	n/a
