onset	duration	trial_type	response_time
0.768	2.326	100inc_excluded	n/a
3.110	3.273	100inc_included	0.546
6.449	2.691	100inc_excluded	n/a
9.157	2.575	100inc_included	0.475
11.799	2.409	100inc_excluded	n/a
14.224	3.123	100inc_included	0.494
33.987	13.000	Fixation	n/a
30.439	2.425	66inc_excluded	n/a
32.881	2.326	66inc_excluded	n/a
35.223	2.691	66inc_included	0.509
37.981	3.140	66inc_included	0.590
41.204	1.944	66inc_excluded	n/a
43.164	2.293	66inc_excluded	n/a
45.473	2.658	66inc_excluded	n/a
64.721	13.000	Fixation	n/a
61.173	2.459	0inc_excluded	n/a
63.648	2.043	0inc_excluded	n/a
65.708	2.060	0inc_excluded	n/a
67.785	2.425	0inc_excluded	n/a
70.227	2.758	0inc_excluded	n/a
73.001	2.027	0inc_excluded	n/a
75.045	2.658	0inc_excluded	n/a
77.719	2.758	0inc_excluded	n/a
80.494	2.791	0inc_excluded	n/a
99.874	13.000	Fixation	n/a
96.326	2.027	33inc_excluded	n/a
98.369	2.675	33inc_excluded	n/a
101.061	2.891	33inc_excluded	n/a
103.968	1.960	33inc_excluded	n/a
105.945	3.040	33inc_included	0.528
109.052	2.160	33inc_excluded	n/a
111.228	2.575	33inc_excluded	n/a
113.819	2.625	33inc_excluded	n/a
133.034	13.000	Fixation	n/a
129.486	2.243	66inc_excluded	n/a
131.745	2.525	66inc_excluded	n/a
134.287	3.140	66inc_included	0.488
137.493	3.339	66inc_included	0.546
140.915	2.509	66inc_excluded	n/a
143.441	2.558	66inc_excluded	n/a
146.016	1.994	66inc_excluded	n/a
164.599	13.000	Fixation	n/a
161.050	1.944	100inc_excluded	n/a
163.011	3.023	100inc_included	0.487
166.117	2.359	100inc_excluded	n/a
168.493	2.691	100inc_included	0.469
171.267	2.475	100inc_excluded	n/a
173.759	3.206	100inc_included	0.460
193.605	13.000	Fixation	n/a
190.057	2.259	33inc_excluded	n/a
192.333	2.077	33inc_excluded	n/a
194.426	1.927	33inc_excluded	n/a
196.370	2.043	33inc_excluded	n/a
198.430	3.323	33inc_included	0.488
201.835	2.808	33inc_excluded	n/a
204.660	2.758	33inc_excluded	n/a
207.434	2.575	33inc_excluded	n/a
226.599	13.000	Fixation	n/a
223.050	2.658	0inc_excluded	n/a
225.725	2.210	0inc_excluded	n/a
227.951	2.907	0inc_excluded	n/a
230.875	2.758	0inc_excluded	n/a
233.649	2.509	0inc_excluded	n/a
236.175	2.741	0inc_excluded	n/a
238.932	2.259	0inc_excluded	n/a
241.208	2.143	0inc_excluded	n/a
243.368	2.326	0inc_excluded	n/a
262.284	13.000	Fixation	n/a
258.735	1.977	33inc_excluded	n/a
260.729	2.708	33inc_excluded	n/a
263.453	2.625	33inc_excluded	n/a
266.095	2.093	33inc_excluded	n/a
268.205	3.339	33inc_included	0.478
271.627	2.409	33inc_excluded	n/a
274.052	2.542	33inc_excluded	n/a
276.611	2.376	33inc_excluded	n/a
295.576	13.000	Fixation	n/a
292.028	2.841	100inc_excluded	n/a
294.885	3.223	100inc_included	0.458
298.191	2.226	100inc_excluded	n/a
300.434	2.708	100inc_included	0.480
303.208	2.392	100inc_excluded	n/a
305.617	2.592	100inc_included	0.462
324.865	13.000	Fixation	n/a
321.317	2.625	0inc_excluded	n/a
323.958	1.911	0inc_excluded	n/a
325.885	1.944	0inc_excluded	n/a
327.846	2.176	0inc_excluded	n/a
330.038	1.994	0inc_excluded	n/a
332.049	2.658	0inc_excluded	n/a
334.723	2.409	0inc_excluded	n/a
337.149	2.127	0inc_excluded	n/a
339.292	2.791	0inc_excluded	n/a
358.673	13.000	Fixation	n/a
355.124	2.176	66inc_excluded	n/a
357.317	2.459	66inc_excluded	n/a
359.792	2.990	66inc_included	0.487
362.849	2.525	66inc_included	-1.249
365.457	2.625	66inc_excluded	n/a
368.099	2.791	66inc_excluded	n/a
370.907	2.010	66inc_excluded	n/a
389.507	13.000	Fixation	n/a
385.958	2.425	0inc_excluded	n/a
388.400	2.176	0inc_excluded	n/a
390.593	2.243	0inc_excluded	n/a
392.852	2.293	0inc_excluded	n/a
395.162	2.558	0inc_excluded	n/a
397.737	2.442	0inc_excluded	n/a
400.195	2.741	0inc_excluded	n/a
402.953	2.857	0inc_excluded	n/a
405.827	2.475	0inc_excluded	n/a
424.892	13.000	Fixation	n/a
421.344	2.110	100inc_excluded	n/a
423.470	3.289	100inc_included	0.535
426.826	2.027	100inc_excluded	n/a
428.870	3.024	100inc_included	0.561
431.976	2.608	100inc_excluded	n/a
434.601	2.874	100inc_included	0.502
454.115	13.000	Fixation	n/a
450.566	2.392	66inc_excluded	n/a
452.975	1.927	66inc_excluded	n/a
454.919	2.824	66inc_included	0.519
457.826	3.489	66inc_included	0.519
461.381	2.392	66inc_excluded	n/a
463.790	2.492	66inc_excluded	n/a
466.299	2.010	66inc_excluded	n/a
484.899	13.000	Fixation	n/a
481.350	1.977	33inc_excluded	n/a
483.344	1.944	33inc_excluded	n/a
485.304	2.642	33inc_excluded	n/a
487.962	2.143	33inc_excluded	n/a
490.122	3.389	33inc_included	0.512
493.577	2.110	33inc_excluded	n/a
495.704	1.944	33inc_excluded	n/a
497.664	2.143	33inc_excluded	n/a
