onset	duration	trial_type	response_time
0.761	2.575	100inc_excluded	n/a
3.353	3.771	100inc_included	0.792
7.207	1.927	100inc_excluded	n/a
9.151	3.190	100inc_included	0.884
12.424	2.691	100inc_excluded	n/a
15.132	3.688	100inc_included	0.758
34.652	13.000	Fixation	n/a
31.928	2.160	66inc_excluded	n/a
34.104	2.425	66inc_excluded	n/a
36.546	3.489	66inc_included	0.600
40.118	3.040	66inc_included	0.914
43.224	2.675	66inc_excluded	n/a
45.916	2.342	66inc_excluded	n/a
48.275	2.060	66inc_excluded	n/a
66.100	13.000	Fixation	n/a
63.376	2.592	0inc_excluded	n/a
65.984	2.642	0inc_excluded	n/a
68.642	2.558	0inc_excluded	n/a
71.217	1.994	0inc_excluded	n/a
73.228	2.857	0inc_excluded	n/a
76.102	2.592	0inc_excluded	n/a
78.710	2.592	0inc_excluded	n/a
81.318	1.927	0inc_excluded	n/a
83.262	1.994	0inc_excluded	n/a
101.021	13.000	Fixation	n/a
98.297	1.994	33inc_excluded	n/a
100.307	2.907	33inc_excluded	n/a
103.231	2.226	33inc_excluded	n/a
105.474	2.691	33inc_excluded	n/a
108.181	3.223	33inc_included	0.615
111.471	1.994	33inc_excluded	n/a
113.481	2.558	33inc_excluded	n/a
116.056	2.592	33inc_excluded	n/a
134.413	13.000	Fixation	n/a
131.689	2.791	66inc_excluded	n/a
134.497	2.492	66inc_excluded	n/a
137.005	3.007	66inc_included	0.821
140.095	3.721	66inc_included	0.912
143.900	2.907	66inc_excluded	n/a
146.824	2.857	66inc_excluded	n/a
149.698	2.409	66inc_excluded	n/a
167.872	13.000	Fixation	n/a
165.148	2.143	100inc_excluded	n/a
167.307	3.721	100inc_included	0.921
171.112	2.409	100inc_excluded	n/a
173.537	3.738	100inc_included	0.780
177.342	2.110	100inc_excluded	n/a
179.468	3.190	100inc_included	0.780
198.490	13.000	Fixation	n/a
195.766	2.176	33inc_excluded	n/a
197.959	2.475	33inc_excluded	n/a
200.450	2.027	33inc_excluded	n/a
202.494	2.160	33inc_excluded	n/a
204.670	2.907	33inc_included	0.836
207.644	2.642	33inc_excluded	n/a
210.302	2.160	33inc_excluded	n/a
212.478	2.176	33inc_excluded	n/a
230.420	13.000	Fixation	n/a
227.696	2.077	0inc_excluded	n/a
229.789	2.808	0inc_excluded	n/a
232.613	2.774	0inc_excluded	n/a
235.404	2.226	0inc_excluded	n/a
237.647	2.708	0inc_excluded	n/a
240.372	2.625	0inc_excluded	n/a
243.013	2.309	0inc_excluded	n/a
245.339	2.824	0inc_excluded	n/a
248.180	2.176	0inc_excluded	n/a
266.121	13.000	Fixation	n/a
263.397	2.675	33inc_excluded	n/a
266.089	2.060	33inc_excluded	n/a
268.165	2.010	33inc_excluded	n/a
270.192	2.808	33inc_excluded	n/a
273.016	2.990	33inc_included	0.931
276.073	2.425	33inc_excluded	n/a
278.515	2.110	33inc_excluded	n/a
280.642	2.658	33inc_excluded	n/a
299.065	13.000	Fixation	n/a
296.341	2.891	100inc_excluded	n/a
299.248	3.273	100inc_included	1.030
302.588	2.509	100inc_excluded	n/a
305.113	3.240	100inc_included	0.896
308.419	2.691	100inc_excluded	n/a
311.127	3.107	100inc_included	0.835
330.065	13.000	Fixation	n/a
327.341	2.309	0inc_excluded	n/a
329.667	2.326	0inc_excluded	n/a
332.009	2.691	0inc_excluded	n/a
334.717	2.160	0inc_excluded	n/a
336.894	2.077	0inc_excluded	n/a
338.987	2.525	0inc_excluded	n/a
341.529	2.675	0inc_excluded	n/a
344.220	1.977	0inc_excluded	n/a
346.214	2.359	0inc_excluded	n/a
364.338	13.000	Fixation	n/a
361.614	2.658	66inc_excluded	n/a
364.288	2.691	66inc_excluded	n/a
366.997	2.891	66inc_included	0.858
369.970	3.555	66inc_included	1.032
373.608	2.392	66inc_excluded	n/a
376.017	2.708	66inc_excluded	n/a
378.742	1.994	66inc_excluded	n/a
396.501	13.000	Fixation	n/a
393.777	2.675	0inc_excluded	n/a
396.468	2.359	0inc_excluded	n/a
398.844	2.907	0inc_excluded	n/a
401.768	2.276	0inc_excluded	n/a
404.060	2.326	0inc_excluded	n/a
406.403	2.492	0inc_excluded	n/a
408.911	2.558	0inc_excluded	n/a
411.486	2.509	0inc_excluded	n/a
414.012	2.575	0inc_excluded	n/a
432.352	13.000	Fixation	n/a
429.628	2.226	100inc_excluded	n/a
431.870	3.854	100inc_included	1.019
435.791	2.276	100inc_excluded	n/a
438.084	3.854	100inc_included	1.082
442.021	2.077	100inc_excluded	n/a
444.114	3.256	100inc_included	1.186
463.186	13.000	Fixation	n/a
460.462	2.758	66inc_excluded	n/a
463.236	1.944	66inc_excluded	n/a
465.196	3.323	66inc_included	0.922
468.585	4.103	66inc_included	1.152
472.772	2.359	66inc_excluded	n/a
475.148	1.944	66inc_excluded	n/a
477.108	2.276	66inc_excluded	n/a
495.149	13.000	Fixation	n/a
492.425	2.907	33inc_excluded	n/a
495.349	2.808	33inc_excluded	n/a
498.173	2.492	33inc_excluded	n/a
500.682	2.110	33inc_excluded	n/a
502.808	3.339	33inc_included	1.085
506.231	2.525	33inc_excluded	n/a
508.772	2.110	33inc_excluded	n/a
510.899	2.043	33inc_excluded	n/a
