onset	duration	trial_type	response_time
0.768	2.509	100inc_excluded	n/a
3.293	3.306	100inc_included	0.466
6.665	1.977	100inc_excluded	n/a
8.659	2.774	100inc_included	0.452
11.500	2.376	100inc_excluded	n/a
13.892	3.107	100inc_included	0.498
32.675	13.000	Fixation	n/a
30.107	2.774	66inc_excluded	n/a
32.897	2.808	66inc_excluded	n/a
35.722	3.804	66inc_included	0.398
39.593	2.857	66inc_included	0.445
42.516	1.927	66inc_excluded	n/a
44.460	2.741	66inc_excluded	n/a
47.218	2.276	66inc_excluded	n/a
65.103	13.000	Fixation	n/a
62.535	2.209	0inc_excluded	n/a
64.761	1.927	0inc_excluded	n/a
66.705	2.542	0inc_excluded	n/a
69.264	2.907	0inc_excluded	n/a
72.187	2.475	0inc_excluded	n/a
74.679	2.243	0inc_excluded	n/a
76.939	2.558	0inc_excluded	n/a
79.514	2.708	0inc_excluded	n/a
82.238	2.575	0inc_excluded	n/a
100.423	13.000	Fixation	n/a
97.855	2.210	33inc_excluded	n/a
100.081	2.342	33inc_excluded	n/a
102.440	2.608	33inc_excluded	n/a
105.065	2.459	33inc_excluded	n/a
107.540	3.373	33inc_included	0.552
110.996	2.841	33inc_excluded	n/a
113.853	2.824	33inc_excluded	n/a
116.694	2.492	33inc_excluded	n/a
134.795	13.000	Fixation	n/a
132.227	2.309	66inc_excluded	n/a
134.553	2.326	66inc_excluded	n/a
136.895	3.422	66inc_included	0.385
140.401	3.057	66inc_included	0.583
143.540	2.176	66inc_excluded	n/a
145.733	2.459	66inc_excluded	n/a
148.209	2.259	66inc_excluded	n/a
166.077	13.000	Fixation	n/a
163.509	2.193	100inc_excluded	n/a
165.719	2.575	100inc_included	0.472
168.377	2.741	100inc_excluded	n/a
171.135	3.323	100inc_included	0.463
174.524	2.758	100inc_excluded	n/a
177.298	3.007	100inc_included	0.328
195.981	13.000	Fixation	n/a
193.413	2.425	33inc_excluded	n/a
195.855	2.276	33inc_excluded	n/a
198.148	2.658	33inc_excluded	n/a
200.822	2.774	33inc_excluded	n/a
203.613	2.509	33inc_included	0.491
206.205	2.658	33inc_excluded	n/a
208.880	2.691	33inc_excluded	n/a
211.588	2.259	33inc_excluded	n/a
229.456	13.000	Fixation	n/a
226.888	2.342	0inc_excluded	n/a
229.247	2.525	0inc_excluded	n/a
231.789	2.027	0inc_excluded	n/a
233.832	2.824	0inc_excluded	n/a
236.673	2.758	0inc_excluded	n/a
239.448	1.977	0inc_excluded	n/a
241.441	1.960	0inc_excluded	n/a
243.418	2.642	0inc_excluded	n/a
246.076	2.525	0inc_excluded	n/a
264.211	13.000	Fixation	n/a
261.643	2.675	33inc_excluded	n/a
264.334	2.874	33inc_excluded	n/a
267.225	2.459	33inc_excluded	n/a
269.700	2.575	33inc_excluded	n/a
272.292	3.073	33inc_included	0.517
275.432	2.326	33inc_excluded	n/a
277.774	2.774	33inc_excluded	n/a
280.565	2.509	33inc_excluded	n/a
298.683	13.000	Fixation	n/a
296.115	1.994	100inc_excluded	n/a
298.125	3.455	100inc_included	0.531
301.647	2.309	100inc_excluded	n/a
303.973	2.758	100inc_included	0.473
306.814	2.492	100inc_excluded	n/a
309.322	2.658	100inc_included	0.452
327.639	13.000	Fixation	n/a
325.071	2.475	0inc_excluded	n/a
327.563	2.542	0inc_excluded	n/a
330.122	2.126	0inc_excluded	n/a
332.265	2.342	0inc_excluded	n/a
334.624	2.160	0inc_excluded	n/a
336.800	1.944	0inc_excluded	n/a
338.761	2.309	0inc_excluded	n/a
341.086	2.808	0inc_excluded	n/a
343.911	2.425	0inc_excluded	n/a
361.945	13.000	Fixation	n/a
359.377	2.724	66inc_excluded	n/a
362.118	2.857	66inc_excluded	n/a
364.993	2.575	66inc_included	0.495
367.634	2.691	66inc_included	0.520
370.392	2.010	66inc_excluded	n/a
372.419	2.359	66inc_excluded	n/a
374.794	2.243	66inc_excluded	n/a
392.647	13.000	Fixation	n/a
390.078	2.592	0inc_excluded	n/a
392.687	2.425	0inc_excluded	n/a
395.129	2.376	0inc_excluded	n/a
397.521	2.459	0inc_excluded	n/a
399.996	2.475	0inc_excluded	n/a
402.488	2.093	0inc_excluded	n/a
404.598	2.642	0inc_excluded	n/a
407.256	2.492	0inc_excluded	n/a
409.765	1.944	0inc_excluded	n/a
427.318	13.000	Fixation	n/a
424.750	2.675	100inc_excluded	n/a
427.441	3.406	100inc_included	0.431
430.913	2.342	100inc_excluded	n/a
433.272	3.804	100inc_included	0.404
437.160	2.841	100inc_excluded	n/a
440.017	3.057	100inc_included	0.494
458.750	13.000	Fixation	n/a
456.182	2.193	66inc_excluded	n/a
458.391	2.027	66inc_excluded	n/a
460.435	3.107	66inc_included	0.479
463.624	3.007	66inc_included	0.467
466.698	2.093	66inc_excluded	n/a
468.808	2.459	66inc_excluded	n/a
471.283	2.243	66inc_excluded	n/a
489.135	13.000	Fixation	n/a
486.567	2.625	33inc_excluded	n/a
489.209	2.276	33inc_excluded	n/a
491.501	2.243	33inc_excluded	n/a
493.760	2.542	33inc_excluded	n/a
496.319	3.323	33inc_included	0.428
499.725	2.043	33inc_excluded	n/a
501.784	2.392	33inc_excluded	n/a
504.193	2.774	33inc_excluded	n/a
