onset	duration	trial_type	response_time
0.767	2.557	100inc_excluded	n/a
3.359	3.472	100inc_included	0.881
6.914	2.326	100inc_excluded	n/a
9.256	3.572	100inc_included	0.670
12.895	2.824	100inc_excluded	n/a
15.736	3.472	100inc_included	0.650
34.253	13.000	Fixation	n/a
32.299	1.911	66inc_excluded	n/a
34.226	2.542	66inc_excluded	n/a
36.784	2.957	66inc_included	0.639
39.808	3.040	66inc_included	0.826
42.915	2.342	66inc_excluded	n/a
45.274	2.243	66inc_excluded	n/a
47.533	1.960	66inc_excluded	n/a
64.489	13.000	Fixation	n/a
62.535	2.475	0inc_excluded	n/a
65.027	2.459	0inc_excluded	n/a
67.502	2.342	0inc_excluded	n/a
69.861	2.193	0inc_excluded	n/a
72.071	2.376	0inc_excluded	n/a
74.463	2.176	0inc_excluded	n/a
76.656	2.409	0inc_excluded	n/a
79.081	2.625	0inc_excluded	n/a
81.723	2.077	0inc_excluded	n/a
98.795	13.000	Fixation	n/a
96.841	2.824	33inc_excluded	n/a
99.682	2.824	33inc_excluded	n/a
102.522	2.376	33inc_excluded	n/a
104.915	2.891	33inc_excluded	n/a
107.822	3.057	33inc_included	0.748
110.962	2.874	33inc_excluded	n/a
113.852	2.625	33inc_excluded	n/a
116.494	2.392	33inc_excluded	n/a
133.882	13.000	Fixation	n/a
131.928	2.077	66inc_excluded	n/a
134.021	2.359	66inc_excluded	n/a
136.397	3.605	66inc_included	0.841
140.085	2.957	66inc_included	0.714
143.108	2.509	66inc_excluded	n/a
145.633	2.143	66inc_excluded	n/a
147.793	2.276	66inc_excluded	n/a
165.065	13.000	Fixation	n/a
163.110	2.658	100inc_excluded	n/a
165.785	3.455	100inc_included	0.778
169.324	2.608	100inc_excluded	n/a
171.949	3.040	100inc_included	0.559
175.055	2.326	100inc_excluded	n/a
177.398	3.107	100inc_included	0.589
195.550	13.000	Fixation	n/a
193.595	2.741	33inc_excluded	n/a
196.353	1.994	33inc_excluded	n/a
198.363	1.927	33inc_excluded	n/a
200.307	2.226	33inc_excluded	n/a
202.550	3.688	33inc_included	0.780
206.304	2.160	33inc_excluded	n/a
208.481	2.193	33inc_excluded	n/a
210.690	2.891	33inc_excluded	n/a
228.576	13.000	Fixation	n/a
226.622	2.592	0inc_excluded	n/a
229.231	2.774	0inc_excluded	n/a
232.022	2.459	0inc_excluded	n/a
234.497	2.226	0inc_excluded	n/a
236.740	2.724	0inc_excluded	n/a
239.481	2.525	0inc_excluded	n/a
242.023	2.392	0inc_excluded	n/a
244.431	1.994	0inc_excluded	n/a
246.442	2.193	0inc_excluded	n/a
263.630	13.000	Fixation	n/a
261.676	2.492	33inc_excluded	n/a
264.185	2.293	33inc_excluded	n/a
266.494	2.475	33inc_excluded	n/a
268.986	2.509	33inc_excluded	n/a
271.511	3.522	33inc_included	0.838
275.099	2.525	33inc_excluded	n/a
277.641	2.509	33inc_excluded	n/a
280.166	2.193	33inc_excluded	n/a
297.355	13.000	Fixation	n/a
295.401	2.675	100inc_excluded	n/a
298.092	3.804	100inc_included	0.899
301.963	2.459	100inc_excluded	n/a
304.438	3.240	100inc_included	0.725
307.761	2.675	100inc_excluded	n/a
310.452	3.422	100inc_included	0.572
328.920	13.000	Fixation	n/a
326.965	2.808	0inc_excluded	n/a
329.790	2.126	0inc_excluded	n/a
331.933	2.293	0inc_excluded	n/a
334.242	2.857	0inc_excluded	n/a
337.116	2.210	0inc_excluded	n/a
339.342	2.293	0inc_excluded	n/a
341.651	2.608	0inc_excluded	n/a
344.276	2.127	0inc_excluded	n/a
346.419	1.927	0inc_excluded	n/a
363.342	13.000	Fixation	n/a
361.388	2.392	66inc_excluded	n/a
363.797	2.342	66inc_excluded	n/a
366.156	3.439	66inc_included	0.864
369.678	2.691	66inc_included	0.662
372.436	2.558	66inc_excluded	n/a
375.011	2.675	66inc_excluded	n/a
377.702	2.758	66inc_excluded	n/a
395.455	13.000	Fixation	n/a
393.501	2.193	0inc_excluded	n/a
395.711	2.043	0inc_excluded	n/a
397.771	2.857	0inc_excluded	n/a
400.644	2.426	0inc_excluded	n/a
403.087	2.376	0inc_excluded	n/a
405.479	2.126	0inc_excluded	n/a
407.622	2.010	0inc_excluded	n/a
409.649	2.459	0inc_excluded	n/a
412.124	2.326	0inc_excluded	n/a
429.445	13.000	Fixation	n/a
427.491	2.575	100inc_excluded	n/a
430.083	3.489	100inc_included	0.766
433.655	2.160	100inc_excluded	n/a
435.831	3.439	100inc_included	0.768
439.353	2.724	100inc_excluded	n/a
442.094	3.804	100inc_included	0.961
460.944	13.000	Fixation	n/a
458.990	2.226	66inc_excluded	n/a
461.233	1.994	66inc_excluded	n/a
463.243	3.439	66inc_included	0.532
466.765	3.073	66inc_included	0.570
469.905	2.060	66inc_excluded	n/a
471.981	2.326	66inc_excluded	n/a
474.324	2.293	66inc_excluded	n/a
491.612	13.000	Fixation	n/a
489.658	2.824	33inc_excluded	n/a
492.498	2.857	33inc_excluded	n/a
495.373	2.542	33inc_excluded	n/a
497.931	2.226	33inc_excluded	n/a
500.174	3.788	33inc_included	0.822
504.028	2.824	33inc_excluded	n/a
506.869	2.093	33inc_excluded	n/a
508.979	2.226	33inc_excluded	n/a
