onset	duration	trial_type	response_time
0.774	2.824	100inc_excluded	n/a
3.615	5.216	100inc_included	0.387
8.898	2.575	100inc_excluded	n/a
11.489	4.236	100inc_included	-0.521
15.792	2.791	100inc_excluded	n/a
18.600	4.286	100inc_included	2.278
38.705	13.000	Fixation	n/a
35.977	2.542	66inc_excluded	n/a
38.535	2.060	66inc_excluded	n/a
40.612	4.552	66inc_included	2.226
45.230	4.120	66inc_included	1.389
49.417	2.741	66inc_excluded	n/a
52.175	2.127	66inc_excluded	n/a
54.318	2.525	66inc_excluded	n/a
72.612	13.000	Fixation	n/a
69.884	2.625	0inc_excluded	n/a
72.526	2.093	0inc_excluded	n/a
74.635	2.210	0inc_excluded	n/a
76.862	2.359	0inc_excluded	n/a
79.237	2.642	0inc_excluded	n/a
81.895	2.226	0inc_excluded	n/a
84.138	2.359	0inc_excluded	n/a
86.514	2.525	0inc_excluded	n/a
89.056	2.409	0inc_excluded	n/a
107.234	13.000	Fixation	n/a
104.506	2.857	33inc_excluded	n/a
107.380	2.442	33inc_excluded	n/a
109.838	2.425	33inc_excluded	n/a
112.281	2.575	33inc_excluded	n/a
114.872	3.040	33inc_included	0.527
117.979	2.509	33inc_excluded	n/a
120.504	2.143	33inc_excluded	n/a
122.664	2.592	33inc_excluded	n/a
141.025	13.000	Fixation	n/a
138.297	2.691	66inc_excluded	n/a
141.005	2.027	66inc_excluded	n/a
143.048	3.555	66inc_included	0.971
146.686	3.156	66inc_included	0.881
149.926	2.077	66inc_excluded	n/a
152.019	1.994	66inc_excluded	n/a
154.029	2.592	66inc_excluded	n/a
172.390	13.000	Fixation	n/a
169.662	2.425	100inc_excluded	n/a
172.104	4.037	100inc_included	1.202
176.224	2.193	100inc_excluded	n/a
178.434	3.489	100inc_included	0.903
181.989	2.425	100inc_excluded	n/a
184.431	3.838	100inc_included	1.181
204.088	13.000	Fixation	n/a
201.360	1.927	33inc_excluded	n/a
203.303	1.944	33inc_excluded	n/a
205.264	2.874	33inc_excluded	n/a
208.154	2.891	33inc_excluded	n/a
211.062	3.638	33inc_included	1.395
214.766	2.542	33inc_excluded	n/a
217.325	1.960	33inc_excluded	n/a
219.302	2.542	33inc_excluded	n/a
237.613	13.000	Fixation	n/a
234.885	2.093	0inc_excluded	n/a
236.995	1.960	0inc_excluded	n/a
238.972	1.977	0inc_excluded	n/a
240.965	2.293	0inc_excluded	n/a
243.274	2.525	0inc_excluded	n/a
245.816	2.293	0inc_excluded	n/a
248.125	2.708	0inc_excluded	n/a
250.850	2.442	0inc_excluded	n/a
253.309	2.907	0inc_excluded	n/a
271.986	13.000	Fixation	n/a
269.257	2.176	33inc_excluded	n/a
271.450	2.359	33inc_excluded	n/a
273.826	2.741	33inc_excluded	n/a
276.584	2.675	33inc_excluded	n/a
279.275	3.838	33inc_included	1.148
283.196	2.475	33inc_excluded	n/a
285.688	2.093	33inc_excluded	n/a
287.797	1.944	33inc_excluded	n/a
305.511	13.000	Fixation	n/a
302.782	2.425	100inc_excluded	n/a
305.224	3.671	100inc_included	1.204
308.979	2.642	100inc_excluded	n/a
311.637	3.073	100inc_included	0.656
314.794	2.857	100inc_excluded	n/a
317.668	3.040	100inc_included	0.780
336.527	13.000	Fixation	n/a
333.799	2.010	0inc_excluded	n/a
335.826	2.658	0inc_excluded	n/a
338.500	2.326	0inc_excluded	n/a
340.843	2.259	0inc_excluded	n/a
343.119	2.043	0inc_excluded	n/a
345.179	2.808	0inc_excluded	n/a
348.003	2.725	0inc_excluded	n/a
350.744	2.160	0inc_excluded	n/a
352.921	2.525	0inc_excluded	n/a
371.215	13.000	Fixation	n/a
368.487	2.691	66inc_excluded	n/a
371.195	2.160	66inc_excluded	n/a
373.371	3.538	66inc_included	0.893
376.976	3.123	66inc_included	0.850
380.166	2.708	66inc_excluded	n/a
382.890	2.874	66inc_excluded	n/a
385.781	2.724	66inc_excluded	n/a
404.275	13.000	Fixation	n/a
401.547	2.841	0inc_excluded	n/a
404.404	2.226	0inc_excluded	n/a
406.647	2.276	0inc_excluded	n/a
408.940	2.675	0inc_excluded	n/a
411.631	2.143	0inc_excluded	n/a
413.791	2.675	0inc_excluded	n/a
416.482	2.060	0inc_excluded	n/a
418.559	2.093	0inc_excluded	n/a
420.669	2.891	0inc_excluded	n/a
439.329	13.000	Fixation	n/a
436.601	2.093	100inc_excluded	n/a
438.710	3.804	100inc_included	1.067
442.581	2.243	100inc_excluded	n/a
444.841	3.588	100inc_included	0.821
448.512	2.642	100inc_excluded	n/a
451.170	3.854	100inc_included	0.894
470.860	13.000	Fixation	n/a
468.132	1.960	66inc_excluded	n/a
470.109	2.442	66inc_excluded	n/a
472.568	3.788	66inc_included	0.822
476.439	4.004	66inc_included	1.020
480.525	2.525	66inc_excluded	n/a
483.067	2.891	66inc_excluded	n/a
485.974	1.977	66inc_excluded	n/a
503.721	13.000	Fixation	n/a
500.993	2.376	33inc_excluded	n/a
503.385	2.077	33inc_excluded	n/a
505.478	2.492	33inc_excluded	n/a
507.987	2.442	33inc_excluded	n/a
510.445	4.104	33inc_included	1.137
514.632	2.708	33inc_excluded	n/a
517.357	2.459	33inc_excluded	n/a
519.832	2.442	33inc_excluded	n/a
