onset	duration	trial_type	response_time
0.762	2.758	100inc_excluded	n/a
3.536	2.874	100inc_included	0.565
6.477	2.691	100inc_excluded	n/a
9.185	3.455	100inc_included	0.848
12.723	1.994	100inc_excluded	n/a
14.734	3.954	100inc_included	1.172
35.167	13.000	Fixation	n/a
31.795	2.608	66inc_excluded	n/a
34.420	2.675	66inc_excluded	n/a
37.111	2.691	66inc_included	0.624
39.869	2.974	66inc_included	0.871
42.909	2.741	66inc_excluded	n/a
45.667	2.575	66inc_excluded	n/a
48.259	2.027	66inc_excluded	n/a
66.698	13.000	Fixation	n/a
63.327	2.409	0inc_excluded	n/a
65.752	2.558	0inc_excluded	n/a
68.327	2.724	0inc_excluded	n/a
71.068	2.642	0inc_excluded	n/a
73.727	2.675	0inc_excluded	n/a
76.418	2.558	0inc_excluded	n/a
78.993	2.907	0inc_excluded	n/a
81.917	2.293	0inc_excluded	n/a
84.226	2.160	0inc_excluded	n/a
102.798	13.000	Fixation	n/a
99.427	2.127	33inc_excluded	n/a
101.570	2.891	33inc_excluded	n/a
104.477	2.841	33inc_excluded	n/a
107.335	2.077	33inc_excluded	n/a
109.428	3.455	33inc_included	0.649
112.967	2.741	33inc_excluded	n/a
115.724	1.977	33inc_excluded	n/a
117.718	2.409	33inc_excluded	n/a
136.539	13.000	Fixation	n/a
133.168	2.060	66inc_excluded	n/a
135.245	2.558	66inc_excluded	n/a
137.820	3.555	66inc_included	0.644
141.441	2.841	66inc_included	0.806
144.365	2.874	66inc_excluded	n/a
147.256	1.927	66inc_excluded	n/a
149.200	2.077	66inc_excluded	n/a
167.689	13.000	Fixation	n/a
164.317	2.575	100inc_excluded	n/a
166.909	3.489	100inc_included	0.635
170.464	2.160	100inc_excluded	n/a
172.641	2.741	100inc_included	0.710
175.465	2.841	100inc_excluded	n/a
178.322	3.489	100inc_included	0.939
198.290	13.000	Fixation	n/a
194.919	2.160	33inc_excluded	n/a
197.095	2.874	33inc_excluded	n/a
199.986	2.127	33inc_excluded	n/a
202.129	2.691	33inc_excluded	n/a
204.837	2.907	33inc_included	0.623
207.810	2.425	33inc_excluded	n/a
210.253	2.558	33inc_excluded	n/a
212.828	2.658	33inc_excluded	n/a
231.898	13.000	Fixation	n/a
228.527	2.791	0inc_excluded	n/a
231.335	2.226	0inc_excluded	n/a
233.577	1.960	0inc_excluded	n/a
235.554	2.392	0inc_excluded	n/a
237.963	2.774	0inc_excluded	n/a
240.754	2.741	0inc_excluded	n/a
243.512	1.944	0inc_excluded	n/a
245.472	2.409	0inc_excluded	n/a
247.898	2.293	0inc_excluded	n/a
266.603	13.000	Fixation	n/a
263.232	2.309	33inc_excluded	n/a
265.557	2.309	33inc_excluded	n/a
267.883	2.857	33inc_excluded	n/a
270.757	2.625	33inc_excluded	n/a
273.399	2.824	33inc_included	0.655
276.306	2.874	33inc_excluded	n/a
279.197	1.977	33inc_excluded	n/a
281.190	2.492	33inc_excluded	n/a
300.095	13.000	Fixation	n/a
296.724	1.927	100inc_excluded	n/a
298.667	2.708	100inc_included	0.669
301.442	2.259	100inc_excluded	n/a
303.718	3.489	100inc_included	0.627
307.273	2.542	100inc_excluded	n/a
309.831	3.073	100inc_included	0.977
329.367	13.000	Fixation	n/a
325.996	2.010	0inc_excluded	n/a
328.022	2.276	0inc_excluded	n/a
330.315	2.608	0inc_excluded	n/a
332.940	2.342	0inc_excluded	n/a
335.299	2.675	0inc_excluded	n/a
337.990	2.874	0inc_excluded	n/a
340.881	1.927	0inc_excluded	n/a
342.825	2.010	0inc_excluded	n/a
344.851	2.127	0inc_excluded	n/a
363.391	13.000	Fixation	n/a
360.019	2.891	66inc_excluded	n/a
362.926	2.675	66inc_excluded	n/a
365.618	3.505	66inc_included	0.621
369.190	3.206	66inc_included	0.764
372.462	2.475	66inc_excluded	n/a
374.954	2.027	66inc_excluded	n/a
376.998	1.944	66inc_excluded	n/a
395.354	13.000	Fixation	n/a
391.983	2.226	0inc_excluded	n/a
394.226	2.043	0inc_excluded	n/a
396.286	2.758	0inc_excluded	n/a
399.060	1.977	0inc_excluded	n/a
401.053	2.176	0inc_excluded	n/a
403.246	2.592	0inc_excluded	n/a
405.855	2.874	0inc_excluded	n/a
408.745	2.542	0inc_excluded	n/a
411.304	1.977	0inc_excluded	n/a
429.693	13.000	Fixation	n/a
426.322	2.525	100inc_excluded	n/a
428.864	3.472	100inc_included	0.748
432.419	2.093	100inc_excluded	n/a
434.529	2.891	100inc_included	0.865
437.486	2.857	100inc_excluded	n/a
440.360	3.439	100inc_included	1.201
460.261	13.000	Fixation	n/a
456.890	2.276	66inc_excluded	n/a
459.183	2.110	66inc_excluded	n/a
461.309	3.323	66inc_included	0.708
464.698	3.522	66inc_included	0.770
468.303	2.907	66inc_excluded	n/a
471.227	2.642	66inc_excluded	n/a
473.885	1.960	66inc_excluded	n/a
492.258	13.000	Fixation	n/a
488.887	2.326	33inc_excluded	n/a
491.229	2.110	33inc_excluded	n/a
493.356	2.741	33inc_excluded	n/a
496.113	2.193	33inc_excluded	n/a
498.323	3.588	33inc_included	0.746
501.978	2.642	33inc_excluded	n/a
504.636	2.342	33inc_excluded	n/a
506.995	2.160	33inc_excluded	n/a
