onset	duration	trial_type	response_time
0.771	2.276	100inc_excluded	n/a
3.063	3.522	100inc_included	0.841
6.668	2.492	100inc_excluded	n/a
9.177	3.240	100inc_included	0.822
12.483	2.342	100inc_excluded	n/a
14.842	3.555	100inc_included	0.647
33.804	13.000	Fixation	n/a
31.505	2.259	66inc_excluded	n/a
33.781	2.110	66inc_excluded	n/a
35.907	4.236	66inc_included	1.547
40.227	3.522	66inc_included	1.194
43.832	2.608	66inc_excluded	n/a
46.456	2.758	66inc_excluded	n/a
49.231	1.927	66inc_excluded	n/a
66.499	13.000	Fixation	n/a
64.199	2.691	0inc_excluded	n/a
66.907	2.525	0inc_excluded	n/a
69.449	2.127	0inc_excluded	n/a
71.592	2.060	0inc_excluded	n/a
73.669	2.625	0inc_excluded	n/a
76.310	1.911	0inc_excluded	n/a
78.237	2.608	0inc_excluded	n/a
80.862	2.425	0inc_excluded	n/a
83.304	2.160	0inc_excluded	n/a
100.805	13.000	Fixation	n/a
98.505	2.824	33inc_excluded	n/a
101.346	2.525	33inc_excluded	n/a
103.888	2.459	33inc_excluded	n/a
106.363	2.110	33inc_excluded	n/a
108.490	3.240	33inc_included	0.581
111.812	2.774	33inc_excluded	n/a
114.603	2.243	33inc_excluded	n/a
116.863	2.010	33inc_excluded	n/a
134.214	13.000	Fixation	n/a
131.914	2.243	66inc_excluded	n/a
134.174	2.592	66inc_excluded	n/a
136.782	3.156	66inc_included	0.843
140.021	3.871	66inc_included	1.137
143.959	1.977	66inc_excluded	n/a
145.952	2.708	66inc_excluded	n/a
148.677	2.060	66inc_excluded	n/a
166.078	13.000	Fixation	n/a
163.778	1.977	100inc_excluded	n/a
165.772	3.439	100inc_included	0.934
169.277	1.944	100inc_excluded	n/a
171.237	3.688	100inc_included	0.776
174.992	2.409	100inc_excluded	n/a
177.418	2.941	100inc_included	0.909
195.765	13.000	Fixation	n/a
193.466	2.326	33inc_excluded	n/a
195.808	2.309	33inc_excluded	n/a
198.134	2.758	33inc_excluded	n/a
200.908	2.027	33inc_excluded	n/a
202.952	3.190	33inc_included	0.925
206.225	2.542	33inc_excluded	n/a
208.783	2.326	33inc_excluded	n/a
211.125	2.077	33inc_excluded	n/a
228.543	13.000	Fixation	n/a
226.243	2.359	0inc_excluded	n/a
228.619	2.575	0inc_excluded	n/a
231.211	2.309	0inc_excluded	n/a
233.537	2.376	0inc_excluded	n/a
235.929	2.841	0inc_excluded	n/a
238.786	2.342	0inc_excluded	n/a
241.145	2.575	0inc_excluded	n/a
243.737	2.259	0inc_excluded	n/a
246.013	2.824	0inc_excluded	n/a
264.178	13.000	Fixation	n/a
261.878	2.758	33inc_excluded	n/a
264.653	2.392	33inc_excluded	n/a
267.062	2.459	33inc_excluded	n/a
269.537	2.110	33inc_excluded	n/a
271.663	3.339	33inc_included	0.539
275.069	2.891	33inc_excluded	n/a
277.976	2.010	33inc_excluded	n/a
280.003	2.243	33inc_excluded	n/a
297.587	13.000	Fixation	n/a
295.287	2.276	100inc_excluded	n/a
297.580	2.974	100inc_included	0.704
300.637	2.376	100inc_excluded	n/a
303.029	2.774	100inc_included	0.546
305.887	2.043	100inc_excluded	n/a
307.947	3.921	100inc_included	1.161
327.275	13.000	Fixation	n/a
324.975	2.359	0inc_excluded	n/a
327.351	2.525	0inc_excluded	n/a
329.892	2.841	0inc_excluded	n/a
332.750	2.874	0inc_excluded	n/a
335.641	2.542	0inc_excluded	n/a
338.199	2.857	0inc_excluded	n/a
341.073	2.143	0inc_excluded	n/a
343.233	2.210	0inc_excluded	n/a
345.459	2.891	0inc_excluded	n/a
363.690	13.000	Fixation	n/a
361.391	2.093	66inc_excluded	n/a
363.501	2.110	66inc_excluded	n/a
365.627	4.054	66inc_included	1.080
369.764	3.140	66inc_included	0.956
372.970	2.558	66inc_excluded	n/a
375.545	2.841	66inc_excluded	n/a
378.403	2.193	66inc_excluded	n/a
395.937	13.000	Fixation	n/a
393.637	2.691	0inc_excluded	n/a
396.345	2.724	0inc_excluded	n/a
399.086	2.043	0inc_excluded	n/a
401.146	2.475	0inc_excluded	n/a
403.638	2.193	0inc_excluded	n/a
405.848	2.342	0inc_excluded	n/a
408.207	2.077	0inc_excluded	n/a
410.300	2.641	0inc_excluded	n/a
412.958	2.226	0inc_excluded	n/a
430.525	13.000	Fixation	n/a
428.225	2.326	100inc_excluded	n/a
430.568	3.921	100inc_included	0.931
434.555	2.874	100inc_excluded	n/a
437.446	3.538	100inc_included	1.139
441.051	2.077	100inc_excluded	n/a
443.144	3.057	100inc_included	0.792
461.608	13.000	Fixation	n/a
459.308	2.658	66inc_excluded	n/a
461.983	2.043	66inc_excluded	n/a
464.043	3.755	66inc_included	1.272
467.881	3.206	66inc_included	1.158
471.170	2.210	66inc_excluded	n/a
473.396	1.994	66inc_excluded	n/a
475.406	2.259	66inc_excluded	n/a
493.007	13.000	Fixation	n/a
490.707	1.994	33inc_excluded	n/a
492.717	2.675	33inc_excluded	n/a
495.409	1.911	33inc_excluded	n/a
497.336	2.791	33inc_excluded	n/a
500.143	4.087	33inc_included	1.206
504.297	2.758	33inc_excluded	n/a
507.071	2.193	33inc_excluded	n/a
509.281	2.475	33inc_excluded	n/a
