onset	duration	trial_type	response_time
0.769	2.226	100inc_excluded	n/a
3.012	3.555	100inc_included	0.804
6.634	2.724	100inc_excluded	n/a
9.375	3.074	100inc_included	0.617
12.515	2.060	100inc_excluded	n/a
14.591	3.373	100inc_included	0.830
32.974	13.000	Fixation	n/a
31.055	2.209	66inc_excluded	n/a
33.281	2.210	66inc_excluded	n/a
35.507	3.256	66inc_included	0.716
38.846	3.622	66inc_included	0.838
42.535	2.509	66inc_excluded	n/a
45.060	2.475	66inc_excluded	n/a
47.552	2.509	66inc_excluded	n/a
65.020	13.000	Fixation	n/a
63.102	2.326	0inc_excluded	n/a
65.444	2.027	0inc_excluded	n/a
67.487	1.944	0inc_excluded	n/a
69.448	2.874	0inc_excluded	n/a
72.339	2.558	0inc_excluded	n/a
74.913	2.724	0inc_excluded	n/a
77.655	2.857	0inc_excluded	n/a
80.529	2.409	0inc_excluded	n/a
82.954	2.841	0inc_excluded	n/a
100.755	13.000	Fixation	n/a
98.836	1.944	33inc_excluded	n/a
100.797	2.459	33inc_excluded	n/a
103.272	2.043	33inc_excluded	n/a
105.332	2.475	33inc_excluded	n/a
107.824	2.907	33inc_included	0.639
110.814	1.960	33inc_excluded	n/a
112.791	2.492	33inc_excluded	n/a
115.300	1.944	33inc_excluded	n/a
132.203	13.000	Fixation	n/a
130.285	2.127	66inc_excluded	n/a
132.428	2.824	66inc_excluded	n/a
135.269	2.642	66inc_included	0.608
137.977	3.705	66inc_included	0.803
141.748	1.927	66inc_excluded	n/a
143.692	2.259	66inc_excluded	n/a
145.968	2.724	66inc_excluded	n/a
163.652	13.000	Fixation	n/a
161.733	2.326	100inc_excluded	n/a
164.076	3.588	100inc_included	0.860
167.731	2.741	100inc_excluded	n/a
170.488	3.206	100inc_included	0.643
173.761	2.342	100inc_excluded	n/a
176.120	2.857	100inc_included	0.498
194.004	13.000	Fixation	n/a
192.085	2.774	33inc_excluded	n/a
194.876	2.708	33inc_excluded	n/a
197.601	2.459	33inc_excluded	n/a
200.076	2.658	33inc_excluded	n/a
202.751	2.891	33inc_included	0.569
205.708	2.043	33inc_excluded	n/a
207.768	2.259	33inc_excluded	n/a
210.044	2.293	33inc_excluded	n/a
227.297	13.000	Fixation	n/a
225.378	2.442	0inc_excluded	n/a
227.837	2.558	0inc_excluded	n/a
230.412	2.724	0inc_excluded	n/a
233.153	2.608	0inc_excluded	n/a
235.778	2.259	0inc_excluded	n/a
238.054	2.342	0inc_excluded	n/a
240.413	2.675	0inc_excluded	n/a
243.104	2.043	0inc_excluded	n/a
245.164	2.608	0inc_excluded	n/a
262.732	13.000	Fixation	n/a
260.814	1.944	33inc_excluded	n/a
262.774	2.774	33inc_excluded	n/a
265.565	2.110	33inc_excluded	n/a
267.691	2.077	33inc_excluded	n/a
269.785	2.941	33inc_included	0.594
272.792	2.608	33inc_excluded	n/a
275.416	2.043	33inc_excluded	n/a
277.477	2.193	33inc_excluded	n/a
294.629	13.000	Fixation	n/a
292.711	2.426	100inc_excluded	n/a
295.153	2.941	100inc_included	0.570
298.176	2.193	100inc_excluded	n/a
300.386	2.675	100inc_included	0.574
303.127	2.625	100inc_excluded	n/a
305.769	3.040	100inc_included	0.588
323.835	13.000	Fixation	n/a
321.916	2.874	0inc_excluded	n/a
324.807	2.176	0inc_excluded	n/a
327.000	2.542	0inc_excluded	n/a
329.558	2.293	0inc_excluded	n/a
331.868	2.226	0inc_excluded	n/a
334.111	2.043	0inc_excluded	n/a
336.171	2.226	0inc_excluded	n/a
338.413	2.691	0inc_excluded	n/a
341.121	2.691	0inc_excluded	n/a
358.772	13.000	Fixation	n/a
356.854	2.558	66inc_excluded	n/a
359.429	2.326	66inc_excluded	n/a
361.771	4.020	66inc_included	1.116
365.875	3.522	66inc_included	0.581
369.463	2.176	66inc_excluded	n/a
371.656	2.475	66inc_excluded	n/a
374.148	2.592	66inc_excluded	n/a
391.700	13.000	Fixation	n/a
389.781	2.293	0inc_excluded	n/a
392.090	2.442	0inc_excluded	n/a
394.549	2.060	0inc_excluded	n/a
396.625	1.994	0inc_excluded	n/a
398.636	2.110	0inc_excluded	n/a
400.762	2.774	0inc_excluded	n/a
403.553	2.592	0inc_excluded	n/a
406.161	2.808	0inc_excluded	n/a
408.986	2.259	0inc_excluded	n/a
426.205	13.000	Fixation	n/a
424.286	2.509	100inc_excluded	n/a
426.811	2.675	100inc_included	0.455
429.553	2.027	100inc_excluded	n/a
431.596	3.306	100inc_included	0.470
434.985	2.658	100inc_excluded	n/a
437.660	2.891	100inc_included	0.474
455.577	13.000	Fixation	n/a
453.658	2.459	66inc_excluded	n/a
456.133	1.960	66inc_excluded	n/a
458.110	2.691	66inc_included	0.483
460.868	3.323	66inc_included	0.510
464.274	2.675	66inc_excluded	n/a
466.965	2.127	66inc_excluded	n/a
469.108	2.359	66inc_excluded	n/a
486.427	13.000	Fixation	n/a
484.509	2.093	33inc_excluded	n/a
486.618	2.293	33inc_excluded	n/a
488.928	2.824	33inc_excluded	n/a
491.768	2.209	33inc_excluded	n/a
493.995	2.990	33inc_included	0.493
497.051	2.492	33inc_excluded	n/a
499.560	2.542	33inc_excluded	n/a
502.118	2.575	33inc_excluded	n/a
