onset	duration	trial_type	response_time
0.764	2.758	100inc_excluded	n/a
3.539	3.671	100inc_included	0.978
7.293	2.324	100inc_excluded	n/a
9.652	3.539	100inc_included	0.661
13.274	2.675	100inc_excluded	n/a
15.965	2.725	100inc_included	0.626
34.137	13.000	Fixation	n/a
31.781	2.459	66inc_excluded	n/a
34.256	2.691	66inc_excluded	n/a
36.964	3.156	66inc_included	0.564
40.187	3.173	66inc_included	0.572
43.427	2.043	66inc_excluded	n/a
45.487	1.994	66inc_excluded	n/a
47.497	2.392	66inc_excluded	n/a
65.286	13.000	Fixation	n/a
62.931	1.960	0inc_excluded	n/a
64.907	2.708	0inc_excluded	n/a
67.632	2.824	0inc_excluded	n/a
70.473	2.774	0inc_excluded	n/a
73.264	1.944	0inc_excluded	n/a
75.224	2.907	0inc_excluded	n/a
78.148	2.891	0inc_excluded	n/a
81.055	2.392	0inc_excluded	n/a
83.464	2.442	0inc_excluded	n/a
101.303	13.000	Fixation	n/a
98.948	2.226	33inc_excluded	n/a
101.191	2.841	33inc_excluded	n/a
104.048	2.625	33inc_excluded	n/a
106.689	2.010	33inc_excluded	n/a
108.716	2.824	33inc_included	0.578
111.607	2.259	33inc_excluded	n/a
113.883	2.243	33inc_excluded	n/a
116.142	2.376	33inc_excluded	n/a
133.915	13.000	Fixation	n/a
131.559	2.675	66inc_excluded	n/a
134.251	2.874	66inc_excluded	n/a
137.141	3.040	66inc_included	0.590
140.264	2.957	66inc_included	0.601
143.305	2.409	66inc_excluded	n/a
145.730	2.077	66inc_excluded	n/a
147.823	2.459	66inc_excluded	n/a
165.679	13.000	Fixation	n/a
163.323	2.558	100inc_excluded	n/a
165.898	2.625	100inc_included	0.547
168.606	1.977	100inc_excluded	n/a
170.600	2.857	100inc_included	0.510
173.524	2.376	100inc_excluded	n/a
175.916	3.057	100inc_included	0.527
194.420	13.000	Fixation	n/a
192.064	2.907	33inc_excluded	n/a
194.988	2.160	33inc_excluded	n/a
197.164	2.774	33inc_excluded	n/a
199.955	2.442	33inc_excluded	n/a
202.414	2.774	33inc_included	0.541
205.255	2.442	33inc_excluded	n/a
207.714	2.077	33inc_excluded	n/a
209.807	2.359	33inc_excluded	n/a
227.563	13.000	Fixation	n/a
225.207	2.143	0inc_excluded	n/a
227.367	2.658	0inc_excluded	n/a
230.042	2.309	0inc_excluded	n/a
232.368	1.944	0inc_excluded	n/a
234.328	2.808	0inc_excluded	n/a
237.152	2.359	0inc_excluded	n/a
239.528	2.824	0inc_excluded	n/a
242.369	2.841	0inc_excluded	n/a
245.226	2.509	0inc_excluded	n/a
263.132	13.000	Fixation	n/a
260.776	2.176	33inc_excluded	n/a
262.969	2.126	33inc_excluded	n/a
265.112	2.010	33inc_excluded	n/a
267.139	1.977	33inc_excluded	n/a
269.132	3.024	33inc_included	0.613
272.239	2.342	33inc_excluded	n/a
274.598	2.376	33inc_excluded	n/a
276.990	2.608	33inc_excluded	n/a
294.995	13.000	Fixation	n/a
292.640	2.774	100inc_excluded	n/a
295.431	2.907	100inc_included	0.525
298.405	2.459	100inc_excluded	n/a
300.880	3.057	100inc_included	0.519
304.020	2.592	100inc_excluded	n/a
306.628	2.891	100inc_included	0.483
324.982	13.000	Fixation	n/a
322.627	2.392	0inc_excluded	n/a
325.035	2.592	0inc_excluded	n/a
327.644	2.675	0inc_excluded	n/a
330.335	1.977	0inc_excluded	n/a
332.329	2.226	0inc_excluded	n/a
334.571	2.326	0inc_excluded	n/a
336.914	2.226	0inc_excluded	n/a
339.157	2.741	0inc_excluded	n/a
341.914	2.791	0inc_excluded	n/a
360.102	13.000	Fixation	n/a
357.747	2.425	66inc_excluded	n/a
360.189	2.160	66inc_excluded	n/a
362.365	2.957	66inc_included	0.551
365.405	3.057	66inc_included	0.492
368.529	2.127	66inc_excluded	n/a
370.672	2.459	66inc_excluded	n/a
373.147	2.243	66inc_excluded	n/a
390.787	13.000	Fixation	n/a
388.431	2.841	0inc_excluded	n/a
391.288	2.492	0inc_excluded	n/a
393.797	2.093	0inc_excluded	n/a
395.907	1.977	0inc_excluded	n/a
397.900	2.293	0inc_excluded	n/a
400.210	1.960	0inc_excluded	n/a
402.187	2.160	0inc_excluded	n/a
404.363	2.725	0inc_excluded	n/a
407.104	2.774	0inc_excluded	n/a
425.275	13.000	Fixation	n/a
422.920	2.592	100inc_excluded	n/a
425.528	3.123	100inc_included	0.554
428.734	2.708	100inc_excluded	n/a
431.459	3.372	100inc_included	0.485
434.914	2.342	100inc_excluded	n/a
437.274	3.356	100inc_included	0.555
456.076	13.000	Fixation	n/a
453.720	2.210	66inc_excluded	n/a
455.947	2.459	66inc_excluded	n/a
458.422	2.608	66inc_included	0.514
461.097	2.592	66inc_included	0.508
463.755	2.575	66inc_excluded	n/a
466.346	2.392	66inc_excluded	n/a
468.755	2.808	66inc_excluded	n/a
486.960	13.000	Fixation	n/a
484.604	2.243	33inc_excluded	n/a
486.864	2.359	33inc_excluded	n/a
489.239	2.741	33inc_excluded	n/a
491.997	2.808	33inc_excluded	n/a
494.821	3.007	33inc_included	0.513
497.895	1.927	33inc_excluded	n/a
499.838	2.110	33inc_excluded	n/a
501.965	2.176	33inc_excluded	n/a
