onset	duration	trial_type	response_time
0.763	2.607	100inc_excluded	n/a
3.388	3.871	100inc_included	1.794
7.325	2.093	100inc_excluded	n/a
9.435	3.838	100inc_included	1.056
13.339	2.425	100inc_excluded	n/a
15.781	4.236	100inc_included	1.241
36.014	13.000	Fixation	n/a
33.109	2.625	66inc_excluded	n/a
35.750	2.309	66inc_excluded	n/a
38.076	3.489	66inc_included	0.744
41.648	3.605	66inc_included	0.956
45.336	2.409	66inc_excluded	n/a
47.761	2.193	66inc_excluded	n/a
49.971	2.077	66inc_excluded	n/a
67.994	13.000	Fixation	n/a
65.089	2.525	0inc_excluded	n/a
67.631	2.774	0inc_excluded	n/a
70.422	1.977	0inc_excluded	n/a
72.415	2.077	0inc_excluded	n/a
74.508	2.642	0inc_excluded	n/a
77.166	2.110	0inc_excluded	n/a
79.293	2.857	0inc_excluded	n/a
82.167	2.342	0inc_excluded	n/a
84.526	2.874	0inc_excluded	n/a
103.347	13.000	Fixation	n/a
100.441	2.293	33inc_excluded	n/a
102.751	2.276	33inc_excluded	n/a
105.043	2.774	33inc_excluded	n/a
107.834	2.509	33inc_excluded	n/a
110.359	2.874	33inc_included	0.519
113.316	2.226	33inc_excluded	n/a
115.559	2.409	33inc_excluded	n/a
117.985	2.226	33inc_excluded	n/a
136.157	13.000	Fixation	n/a
133.252	1.977	66inc_excluded	n/a
135.246	2.110	66inc_excluded	n/a
137.372	3.156	66inc_included	1.117
140.595	3.356	66inc_included	0.880
144.017	2.093	66inc_excluded	n/a
146.127	2.126	66inc_excluded	n/a
148.270	2.542	66inc_excluded	n/a
166.759	13.000	Fixation	n/a
163.853	2.558	100inc_excluded	n/a
166.428	3.024	100inc_included	0.928
169.535	2.276	100inc_excluded	n/a
171.828	4.070	100inc_included	1.096
175.981	2.077	100inc_excluded	n/a
178.074	3.489	100inc_included	1.051
197.576	13.000	Fixation	n/a
194.671	2.259	33inc_excluded	n/a
196.947	2.259	33inc_excluded	n/a
199.223	2.542	33inc_excluded	n/a
201.781	2.209	33inc_excluded	n/a
204.007	3.921	33inc_included	0.952
207.994	2.558	33inc_excluded	n/a
210.569	2.060	33inc_excluded	n/a
212.646	2.342	33inc_excluded	n/a
230.935	13.000	Fixation	n/a
228.030	2.741	0inc_excluded	n/a
230.787	2.442	0inc_excluded	n/a
233.246	2.425	0inc_excluded	n/a
235.688	2.226	0inc_excluded	n/a
237.931	2.376	0inc_excluded	n/a
240.323	2.525	0inc_excluded	n/a
242.865	2.127	0inc_excluded	n/a
245.008	2.907	0inc_excluded	n/a
247.932	2.293	0inc_excluded	n/a
266.171	13.000	Fixation	n/a
263.266	2.791	33inc_excluded	n/a
266.074	2.392	33inc_excluded	n/a
268.482	2.575	33inc_excluded	n/a
271.074	2.027	33inc_excluded	n/a
273.118	3.705	33inc_included	1.086
276.905	2.392	33inc_excluded	n/a
279.314	1.960	33inc_excluded	n/a
281.291	2.110	33inc_excluded	n/a
299.347	13.000	Fixation	n/a
296.442	2.193	100inc_excluded	n/a
298.652	3.705	100inc_included	0.839
302.440	2.309	100inc_excluded	n/a
304.765	3.555	100inc_included	0.772
308.404	2.625	100inc_excluded	n/a
311.045	3.406	100inc_included	0.798
330.464	13.000	Fixation	n/a
327.558	1.960	0inc_excluded	n/a
329.535	2.608	0inc_excluded	n/a
332.160	2.891	0inc_excluded	n/a
335.067	2.891	0inc_excluded	n/a
337.975	2.675	0inc_excluded	n/a
340.666	2.127	0inc_excluded	n/a
342.809	2.824	0inc_excluded	n/a
345.650	2.459	0inc_excluded	n/a
348.125	2.558	0inc_excluded	n/a
366.630	13.000	Fixation	n/a
363.725	2.841	66inc_excluded	n/a
366.582	2.558	66inc_excluded	n/a
369.158	3.007	66inc_included	0.912
372.231	3.240	66inc_included	0.858
375.537	2.442	66inc_excluded	n/a
377.996	1.927	66inc_excluded	n/a
379.939	2.043	66inc_excluded	n/a
397.929	13.000	Fixation	n/a
395.024	2.857	0inc_excluded	n/a
397.898	2.907	0inc_excluded	n/a
400.822	2.259	0inc_excluded	n/a
403.098	1.927	0inc_excluded	n/a
405.042	2.392	0inc_excluded	n/a
407.451	2.243	0inc_excluded	n/a
409.710	2.326	0inc_excluded	n/a
412.052	2.442	0inc_excluded	n/a
414.511	2.791	0inc_excluded	n/a
433.249	13.000	Fixation	n/a
430.343	2.724	100inc_excluded	n/a
433.085	3.721	100inc_included	0.881
436.872	2.309	100inc_excluded	n/a
439.198	3.738	100inc_included	0.855
443.019	2.060	100inc_excluded	n/a
445.096	3.622	100inc_included	0.893
464.714	13.000	Fixation	n/a
461.808	2.309	66inc_excluded	n/a
464.134	2.259	66inc_excluded	n/a
466.410	3.655	66inc_included	0.880
470.148	3.539	66inc_included	0.774
473.770	2.226	66inc_excluded	n/a
476.013	2.857	66inc_excluded	n/a
478.887	2.110	66inc_excluded	n/a
496.943	13.000	Fixation	n/a
494.038	2.724	33inc_excluded	n/a
496.779	2.425	33inc_excluded	n/a
499.221	2.642	33inc_excluded	n/a
501.879	2.110	33inc_excluded	n/a
504.006	3.057	33inc_included	0.924
507.146	2.774	33inc_excluded	n/a
509.937	1.944	33inc_excluded	n/a
511.897	2.808	33inc_excluded	n/a
