onset	duration	trial_type	response_time
0.775	2.658	100inc_excluded	n/a
3.450	3.123	100inc_included	0.710
6.640	2.376	100inc_excluded	n/a
9.032	3.107	100inc_included	0.749
12.205	2.857	100inc_excluded	n/a
15.079	3.306	100inc_included	0.660
34.569	13.000	Fixation	n/a
31.476	2.342	66inc_excluded	n/a
33.835	2.127	66inc_excluded	n/a
35.978	2.990	66inc_included	0.736
39.052	2.857	66inc_included	0.673
41.992	2.758	66inc_excluded	n/a
44.767	2.575	66inc_excluded	n/a
47.358	2.608	66inc_excluded	n/a
66.100	13.000	Fixation	n/a
63.008	2.808	0inc_excluded	n/a
65.832	2.841	0inc_excluded	n/a
68.689	2.160	0inc_excluded	n/a
70.866	2.808	0inc_excluded	n/a
73.690	2.243	0inc_excluded	n/a
75.949	2.209	0inc_excluded	n/a
78.175	2.592	0inc_excluded	n/a
80.784	2.575	0inc_excluded	n/a
83.375	2.060	0inc_excluded	n/a
101.569	13.000	Fixation	n/a
98.477	2.791	33inc_excluded	n/a
101.284	2.691	33inc_excluded	n/a
103.992	2.675	33inc_excluded	n/a
106.683	2.127	33inc_excluded	n/a
108.827	3.306	33inc_included	0.641
112.199	2.293	33inc_excluded	n/a
114.508	1.960	33inc_excluded	n/a
116.485	2.077	33inc_excluded	n/a
134.696	13.000	Fixation	n/a
131.603	2.342	66inc_excluded	n/a
133.962	2.060	66inc_excluded	n/a
136.039	3.605	66inc_included	0.656
139.710	3.273	66inc_included	0.563
143.066	2.675	66inc_excluded	n/a
145.758	2.342	66inc_excluded	n/a
148.117	2.326	66inc_excluded	n/a
166.576	13.000	Fixation	n/a
163.484	2.891	100inc_excluded	n/a
166.391	3.273	100inc_included	0.550
169.730	2.359	100inc_excluded	n/a
172.106	2.625	100inc_included	0.532
174.797	2.276	100inc_excluded	n/a
177.090	3.356	100inc_included	0.517
196.629	13.000	Fixation	n/a
193.537	2.093	33inc_excluded	n/a
195.647	2.027	33inc_excluded	n/a
197.690	2.691	33inc_excluded	n/a
200.398	2.409	33inc_excluded	n/a
202.823	2.941	33inc_included	0.562
205.830	1.960	33inc_excluded	n/a
207.807	2.425	33inc_excluded	n/a
210.249	2.425	33inc_excluded	n/a
228.809	13.000	Fixation	n/a
225.716	2.425	0inc_excluded	n/a
228.158	2.841	0inc_excluded	n/a
231.016	2.741	0inc_excluded	n/a
233.774	2.509	0inc_excluded	n/a
236.299	2.824	0inc_excluded	n/a
239.139	2.226	0inc_excluded	n/a
241.382	1.960	0inc_excluded	n/a
243.359	2.509	0inc_excluded	n/a
245.884	2.425	0inc_excluded	n/a
264.444	13.000	Fixation	n/a
261.351	2.542	33inc_excluded	n/a
263.910	2.243	33inc_excluded	n/a
266.169	2.675	33inc_excluded	n/a
268.860	2.060	33inc_excluded	n/a
270.937	3.090	33inc_included	0.558
274.093	2.110	33inc_excluded	n/a
276.220	2.907	33inc_excluded	n/a
279.144	2.658	33inc_excluded	n/a
297.935	13.000	Fixation	n/a
294.843	2.658	100inc_excluded	n/a
297.518	2.641	100inc_included	0.523
300.242	2.658	100inc_excluded	n/a
302.917	2.924	100inc_included	0.518
305.907	2.342	100inc_excluded	n/a
308.267	2.824	100inc_included	0.550
327.274	13.000	Fixation	n/a
324.182	2.376	0inc_excluded	n/a
326.574	2.409	0inc_excluded	n/a
329.000	2.143	0inc_excluded	n/a
331.159	2.691	0inc_excluded	n/a
333.867	2.791	0inc_excluded	n/a
336.675	2.824	0inc_excluded	n/a
339.516	2.176	0inc_excluded	n/a
341.709	2.459	0inc_excluded	n/a
344.184	2.226	0inc_excluded	n/a
362.544	13.000	Fixation	n/a
359.451	2.509	66inc_excluded	n/a
361.977	1.977	66inc_excluded	n/a
363.970	3.256	66inc_included	0.591
367.309	3.339	66inc_included	0.579
370.732	1.927	66inc_excluded	n/a
372.675	2.110	66inc_excluded	n/a
374.802	2.874	66inc_excluded	n/a
393.810	13.000	Fixation	n/a
390.717	2.309	0inc_excluded	n/a
393.043	2.492	0inc_excluded	n/a
395.552	2.409	0inc_excluded	n/a
397.977	2.010	0inc_excluded	n/a
400.004	2.642	0inc_excluded	n/a
402.662	2.160	0inc_excluded	n/a
404.838	2.558	0inc_excluded	n/a
407.413	2.542	0inc_excluded	n/a
409.972	2.276	0inc_excluded	n/a
428.381	13.000	Fixation	n/a
425.289	2.376	100inc_excluded	n/a
427.681	2.675	100inc_included	0.578
430.439	2.459	100inc_excluded	n/a
432.914	2.841	100inc_included	0.512
435.822	2.259	100inc_excluded	n/a
438.098	3.090	100inc_included	0.585
457.388	13.000	Fixation	n/a
454.295	1.944	66inc_excluded	n/a
456.256	2.143	66inc_excluded	n/a
458.415	3.090	66inc_included	0.624
461.572	3.156	66inc_included	0.617
464.811	2.575	66inc_excluded	n/a
467.403	2.592	66inc_excluded	n/a
470.011	2.758	66inc_excluded	n/a
488.903	13.000	Fixation	n/a
485.810	1.927	33inc_excluded	n/a
487.754	2.725	33inc_excluded	n/a
490.495	2.658	33inc_excluded	n/a
493.170	2.143	33inc_excluded	n/a
495.330	2.924	33inc_included	0.579
498.320	2.243	33inc_excluded	n/a
500.579	1.977	33inc_excluded	n/a
502.573	1.994	33inc_excluded	n/a
