onset	duration	trial_type	response_time
0.761	1.960	100inc_excluded	n/a
2.737	2.957	100inc_included	0.672
5.778	2.160	100inc_excluded	n/a
7.954	3.090	100inc_included	0.508
11.127	2.608	100inc_excluded	n/a
13.752	4.336	100inc_included	2.121
32.475	13.000	Fixation	n/a
31.179	2.608	66inc_excluded	n/a
33.804	2.542	66inc_excluded	n/a
36.362	4.220	66inc_included	2.070
40.665	4.436	66inc_included	2.076
45.184	2.392	66inc_excluded	n/a
47.593	2.143	66inc_excluded	n/a
49.753	2.276	66inc_excluded	n/a
66.366	13.000	Fixation	n/a
65.070	2.293	0inc_excluded	n/a
67.379	2.575	0inc_excluded	n/a
69.971	2.808	0inc_excluded	n/a
72.795	2.392	0inc_excluded	n/a
75.204	1.994	0inc_excluded	n/a
77.214	2.193	0inc_excluded	n/a
79.423	2.675	0inc_excluded	n/a
82.115	2.891	0inc_excluded	n/a
85.022	2.492	0inc_excluded	n/a
101.851	13.000	Fixation	n/a
100.555	2.558	33inc_excluded	n/a
103.130	2.808	33inc_excluded	n/a
105.954	2.824	33inc_excluded	n/a
108.795	1.927	33inc_excluded	n/a
110.739	2.891	33inc_included	0.695
113.696	2.392	33inc_excluded	n/a
116.105	2.575	33inc_excluded	n/a
118.697	2.425	33inc_excluded	n/a
135.460	13.000	Fixation	n/a
134.163	2.625	66inc_excluded	n/a
136.805	2.857	66inc_excluded	n/a
139.679	2.625	66inc_included	0.529
142.370	3.472	66inc_included	0.746
145.925	2.093	66inc_excluded	n/a
148.035	2.675	66inc_excluded	n/a
150.727	1.994	66inc_excluded	n/a
167.058	13.000	Fixation	n/a
165.762	2.442	100inc_excluded	n/a
168.220	3.539	100inc_included	0.680
171.825	2.758	100inc_excluded	n/a
174.600	3.256	100inc_included	0.667
177.939	2.442	100inc_excluded	n/a
180.398	3.190	100inc_included	0.551
197.975	13.000	Fixation	n/a
196.678	2.741	33inc_excluded	n/a
199.436	2.658	33inc_excluded	n/a
202.111	2.542	33inc_excluded	n/a
204.669	2.359	33inc_excluded	n/a
207.045	2.857	33inc_included	0.523
209.986	2.326	33inc_excluded	n/a
212.328	2.326	33inc_excluded	n/a
214.670	2.459	33inc_excluded	n/a
231.466	13.000	Fixation	n/a
230.170	2.658	0inc_excluded	n/a
232.845	2.259	0inc_excluded	n/a
235.121	2.459	0inc_excluded	n/a
237.596	2.209	0inc_excluded	n/a
239.823	2.857	0inc_excluded	n/a
242.697	2.093	0inc_excluded	n/a
244.806	2.309	0inc_excluded	n/a
247.132	2.808	0inc_excluded	n/a
249.957	2.027	0inc_excluded	n/a
266.321	13.000	Fixation	n/a
265.024	2.891	33inc_excluded	n/a
267.932	2.675	33inc_excluded	n/a
270.623	2.708	33inc_excluded	n/a
273.348	2.824	33inc_excluded	n/a
276.188	3.572	33inc_included	0.780
279.827	2.126	33inc_excluded	n/a
281.970	2.060	33inc_excluded	n/a
284.046	2.326	33inc_excluded	n/a
300.710	13.000	Fixation	n/a
299.413	2.525	100inc_excluded	n/a
301.955	3.373	100inc_included	0.491
305.394	2.010	100inc_excluded	n/a
307.421	3.090	100inc_included	0.677
310.577	2.210	100inc_excluded	n/a
312.804	3.455	100inc_included	0.484
330.663	13.000	Fixation	n/a
329.367	2.691	0inc_excluded	n/a
332.075	2.110	0inc_excluded	n/a
334.201	2.110	0inc_excluded	n/a
336.328	2.326	0inc_excluded	n/a
338.670	2.724	0inc_excluded	n/a
341.411	2.326	0inc_excluded	n/a
343.754	2.791	0inc_excluded	n/a
346.561	2.093	0inc_excluded	n/a
348.671	2.060	0inc_excluded	n/a
365.069	13.000	Fixation	n/a
363.772	2.774	66inc_excluded	n/a
366.563	2.326	66inc_excluded	n/a
368.906	3.738	66inc_included	0.805
372.727	3.572	66inc_included	0.723
376.365	2.243	66inc_excluded	n/a
378.625	1.977	66inc_excluded	n/a
380.618	2.043	66inc_excluded	n/a
396.999	13.000	Fixation	n/a
395.703	2.808	0inc_excluded	n/a
398.527	2.226	0inc_excluded	n/a
400.770	2.575	0inc_excluded	n/a
403.361	2.259	0inc_excluded	n/a
405.637	2.841	0inc_excluded	n/a
408.495	2.857	0inc_excluded	n/a
411.369	2.575	0inc_excluded	n/a
413.961	2.808	0inc_excluded	n/a
416.785	2.558	0inc_excluded	n/a
433.681	13.000	Fixation	n/a
432.385	2.077	100inc_excluded	n/a
434.478	3.306	100inc_included	0.742
437.850	2.392	100inc_excluded	n/a
440.259	2.924	100inc_included	0.556
443.249	2.010	100inc_excluded	n/a
445.276	3.373	100inc_included	0.545
463.053	13.000	Fixation	n/a
461.756	2.641	66inc_excluded	n/a
464.414	2.110	66inc_excluded	n/a
466.541	3.040	66inc_included	0.480
469.648	2.891	66inc_included	0.590
472.621	2.691	66inc_excluded	n/a
475.329	1.994	66inc_excluded	n/a
477.339	2.907	66inc_excluded	n/a
494.584	13.000	Fixation	n/a
493.288	2.658	33inc_excluded	n/a
495.963	2.176	33inc_excluded	n/a
498.156	2.425	33inc_excluded	n/a
500.598	2.060	33inc_excluded	n/a
502.674	3.240	33inc_included	0.473
505.980	1.994	33inc_excluded	n/a
507.990	2.359	33inc_excluded	n/a
510.366	2.675	33inc_excluded	n/a
