onset	duration	trial_type	response_time
0.765	2.507	100inc_excluded	n/a
3.307	4.353	100inc_included	-0.553
7.726	2.741	100inc_excluded	n/a
10.484	3.572	100inc_included	-1.538
14.139	2.326	100inc_excluded	n/a
16.481	3.107	100inc_included	-0.770
35.549	13.000	Fixation	n/a
32.679	1.944	66inc_excluded	n/a
34.640	2.126	66inc_excluded	n/a
36.783	3.040	66inc_included	-1.476
39.906	4.054	66inc_included	-1.611
44.043	2.741	66inc_excluded	n/a
46.800	2.725	66inc_excluded	n/a
49.541	2.110	66inc_excluded	n/a
67.562	13.000	Fixation	n/a
64.692	2.409	0inc_excluded	n/a
67.118	2.226	0inc_excluded	n/a
69.361	1.977	0inc_excluded	n/a
71.354	2.010	0inc_excluded	n/a
73.381	2.475	0inc_excluded	n/a
75.873	2.724	0inc_excluded	n/a
78.614	2.193	0inc_excluded	n/a
80.824	2.027	0inc_excluded	n/a
82.867	2.259	0inc_excluded	n/a
101.037	13.000	Fixation	n/a
98.168	2.608	33inc_excluded	n/a
100.793	2.442	33inc_excluded	n/a
103.251	2.509	33inc_excluded	n/a
105.777	2.243	33inc_excluded	n/a
108.036	3.655	33inc_included	-1.927
111.757	2.791	33inc_excluded	n/a
114.565	2.193	33inc_excluded	n/a
116.775	2.442	33inc_excluded	n/a
135.127	13.000	Fixation	n/a
132.258	2.675	66inc_excluded	n/a
134.949	2.575	66inc_excluded	n/a
137.541	2.957	66inc_included	-1.329
140.581	3.223	66inc_included	-1.635
143.887	2.342	66inc_excluded	n/a
146.246	2.509	66inc_excluded	n/a
148.771	2.276	66inc_excluded	n/a
166.958	13.000	Fixation	n/a
164.088	2.077	100inc_excluded	n/a
166.182	3.190	100inc_included	-1.694
169.454	2.110	100inc_excluded	n/a
171.581	3.705	100inc_included	-2.240
175.369	2.525	100inc_excluded	n/a
177.910	3.289	100inc_included	-1.704
197.161	13.000	Fixation	n/a
194.291	1.927	33inc_excluded	n/a
196.235	1.944	33inc_excluded	n/a
198.195	2.857	33inc_excluded	n/a
201.069	2.691	33inc_excluded	n/a
203.777	3.455	33inc_included	-1.898
207.316	2.675	33inc_excluded	n/a
210.007	2.027	33inc_excluded	n/a
212.050	2.824	33inc_excluded	n/a
230.785	13.000	Fixation	n/a
227.916	2.226	0inc_excluded	n/a
230.159	1.927	0inc_excluded	n/a
232.102	2.475	0inc_excluded	n/a
234.594	2.425	0inc_excluded	n/a
237.036	2.708	0inc_excluded	n/a
239.761	1.977	0inc_excluded	n/a
241.755	2.160	0inc_excluded	n/a
243.931	2.575	0inc_excluded	n/a
246.522	2.425	0inc_excluded	n/a
264.859	13.000	Fixation	n/a
261.989	2.160	33inc_excluded	n/a
264.166	2.475	33inc_excluded	n/a
266.657	1.977	33inc_excluded	n/a
268.651	1.960	33inc_excluded	n/a
270.628	3.223	33inc_included	-1.616
273.934	2.276	33inc_excluded	n/a
276.227	2.309	33inc_excluded	n/a
278.553	1.944	33inc_excluded	n/a
296.407	13.000	Fixation	n/a
293.537	2.774	100inc_excluded	n/a
296.328	2.808	100inc_included	-0.992
299.202	2.276	100inc_excluded	n/a
301.495	2.824	100inc_included	-1.329
304.386	2.243	100inc_excluded	n/a
306.645	3.522	100inc_included	-1.869
326.128	13.000	Fixation	n/a
323.258	2.691	0inc_excluded	n/a
325.966	2.509	0inc_excluded	n/a
328.491	2.641	0inc_excluded	n/a
331.149	2.725	0inc_excluded	n/a
333.891	2.043	0inc_excluded	n/a
335.951	2.210	0inc_excluded	n/a
338.177	2.592	0inc_excluded	n/a
340.785	2.608	0inc_excluded	n/a
343.410	2.193	0inc_excluded	n/a
361.514	13.000	Fixation	n/a
358.644	2.608	66inc_excluded	n/a
361.269	2.725	66inc_excluded	n/a
364.010	5.084	66inc_included	-1.522
369.177	3.489	66inc_included	-1.599
372.732	2.691	66inc_excluded	n/a
375.440	2.708	66inc_excluded	n/a
378.164	2.509	66inc_excluded	n/a
396.584	13.000	Fixation	n/a
393.714	2.907	0inc_excluded	n/a
396.638	2.409	0inc_excluded	n/a
399.064	2.791	0inc_excluded	n/a
401.871	1.994	0inc_excluded	n/a
403.881	2.857	0inc_excluded	n/a
406.755	2.160	0inc_excluded	n/a
408.932	2.558	0inc_excluded	n/a
411.507	2.857	0inc_excluded	n/a
414.381	2.176	0inc_excluded	n/a
432.468	13.000	Fixation	n/a
429.599	2.010	100inc_excluded	n/a
431.625	3.489	100inc_included	-2.174
435.197	2.326	100inc_excluded	n/a
437.539	3.904	100inc_included	-0.763
441.510	2.093	100inc_excluded	n/a
443.620	3.190	100inc_included	-1.627
462.770	13.000	Fixation	n/a
459.901	2.658	66inc_excluded	n/a
462.575	2.342	66inc_excluded	n/a
464.935	3.771	66inc_included	-2.058
468.789	3.057	66inc_included	-1.608
471.929	2.326	66inc_excluded	n/a
474.271	2.376	66inc_excluded	n/a
476.663	2.425	66inc_excluded	n/a
495.000	13.000	Fixation	n/a
492.130	1.977	33inc_excluded	n/a
494.124	2.542	33inc_excluded	n/a
496.682	2.891	33inc_excluded	n/a
499.589	2.243	33inc_excluded	n/a
501.849	3.273	33inc_included	-1.619
505.204	2.542	33inc_excluded	n/a
507.763	2.542	33inc_excluded	n/a
510.321	2.309	33inc_excluded	n/a
