onset	duration	trial_type	response_time
0.771	2.293	100inc_excluded	n/a
3.080	3.337	100inc_included	0.632
6.503	2.857	100inc_excluded	n/a
9.377	2.658	100inc_included	0.645
12.101	2.127	100inc_excluded	n/a
14.244	2.939	100inc_included	0.822
32.625	13.000	Fixation	n/a
30.292	1.944	66inc_excluded	n/a
32.253	2.824	66inc_excluded	n/a
35.094	3.522	66inc_included	0.680
38.682	2.891	66inc_included	0.800
41.656	2.110	66inc_excluded	n/a
43.782	2.675	66inc_excluded	n/a
46.474	2.243	66inc_excluded	n/a
64.090	13.000	Fixation	n/a
61.758	2.176	0inc_excluded	n/a
63.951	2.326	0inc_excluded	n/a
66.293	2.093	0inc_excluded	n/a
68.403	2.409	0inc_excluded	n/a
70.828	1.927	0inc_excluded	n/a
72.772	2.027	0inc_excluded	n/a
74.815	2.475	0inc_excluded	n/a
77.307	1.994	0inc_excluded	n/a
79.318	2.758	0inc_excluded	n/a
97.449	13.000	Fixation	n/a
95.117	2.642	33inc_excluded	n/a
97.775	2.409	33inc_excluded	n/a
100.200	2.027	33inc_excluded	n/a
102.244	2.376	33inc_excluded	n/a
104.636	3.190	33inc_included	0.697
107.909	2.857	33inc_excluded	n/a
110.783	2.891	33inc_excluded	n/a
113.690	2.625	33inc_excluded	n/a
131.689	13.000	Fixation	n/a
129.356	2.741	66inc_excluded	n/a
132.114	2.143	66inc_excluded	n/a
134.274	3.505	66inc_included	0.888
137.845	3.389	66inc_included	0.751
141.317	1.994	66inc_excluded	n/a
143.328	2.774	66inc_excluded	n/a
146.119	1.994	66inc_excluded	n/a
163.486	13.000	Fixation	n/a
161.154	2.143	100inc_excluded	n/a
163.313	3.389	100inc_included	0.685
166.785	2.459	100inc_excluded	n/a
169.261	3.073	100inc_included	0.788
172.417	1.927	100inc_excluded	n/a
174.361	3.040	100inc_included	0.553
192.825	13.000	Fixation	n/a
190.492	2.409	33inc_excluded	n/a
192.918	2.592	33inc_excluded	n/a
195.526	2.891	33inc_excluded	n/a
198.433	2.176	33inc_excluded	n/a
200.626	3.107	33inc_included	0.634
203.816	2.791	33inc_excluded	n/a
206.624	2.409	33inc_excluded	n/a
209.049	2.708	33inc_excluded	n/a
227.131	13.000	Fixation	n/a
224.798	2.841	0inc_excluded	n/a
227.656	2.060	0inc_excluded	n/a
229.732	2.043	0inc_excluded	n/a
231.792	2.127	0inc_excluded	n/a
233.935	2.243	0inc_excluded	n/a
236.195	2.475	0inc_excluded	n/a
238.687	2.509	0inc_excluded	n/a
241.212	2.625	0inc_excluded	n/a
243.853	2.492	0inc_excluded	n/a
261.719	13.000	Fixation	n/a
259.387	2.558	33inc_excluded	n/a
261.962	2.891	33inc_excluded	n/a
264.869	2.060	33inc_excluded	n/a
266.946	2.060	33inc_excluded	n/a
269.022	3.588	33inc_included	0.606
272.694	2.691	33inc_excluded	n/a
275.402	2.675	33inc_excluded	n/a
278.093	2.309	33inc_excluded	n/a
295.776	13.000	Fixation	n/a
293.443	2.808	100inc_excluded	n/a
296.268	2.708	100inc_included	0.695
299.042	2.077	100inc_excluded	n/a
301.135	3.705	100inc_included	0.871
304.923	2.575	100inc_excluded	n/a
307.515	3.389	100inc_included	0.465
326.344	13.000	Fixation	n/a
324.011	2.857	0inc_excluded	n/a
326.885	2.891	0inc_excluded	n/a
329.793	2.542	0inc_excluded	n/a
332.351	2.226	0inc_excluded	n/a
334.594	2.226	0inc_excluded	n/a
336.837	2.758	0inc_excluded	n/a
339.611	2.093	0inc_excluded	n/a
341.721	2.259	0inc_excluded	n/a
343.997	2.808	0inc_excluded	n/a
362.178	13.000	Fixation	n/a
359.846	2.509	66inc_excluded	n/a
362.371	2.525	66inc_excluded	n/a
364.913	3.356	66inc_included	0.626
368.335	3.073	66inc_included	0.743
371.492	2.293	66inc_excluded	n/a
373.801	1.911	66inc_excluded	n/a
375.728	2.691	66inc_excluded	n/a
393.793	13.000	Fixation	n/a
391.461	2.043	0inc_excluded	n/a
393.520	2.475	0inc_excluded	n/a
396.012	2.857	0inc_excluded	n/a
398.886	2.575	0inc_excluded	n/a
401.478	2.525	0inc_excluded	n/a
404.020	2.492	0inc_excluded	n/a
406.529	2.575	0inc_excluded	n/a
409.120	2.758	0inc_excluded	n/a
411.894	2.857	0inc_excluded	n/a
430.126	13.000	Fixation	n/a
427.793	2.824	100inc_excluded	n/a
430.634	3.040	100inc_included	0.679
433.741	2.077	100inc_excluded	n/a
435.834	3.007	100inc_included	0.872
438.924	2.093	100inc_excluded	n/a
441.034	2.675	100inc_included	0.572
459.149	13.000	Fixation	n/a
457.315	3.256	66inc_excluded	n/a
460.587	2.542	66inc_excluded	n/a
463.146	3.838	66inc_included	0.854
467.050	2.691	66inc_included	0.684
469.824	2.276	66inc_excluded	n/a
472.117	2.724	66inc_excluded	n/a
474.858	2.127	66inc_excluded	n/a
492.358	13.000	Fixation	n/a
490.026	2.459	33inc_excluded	n/a
492.501	2.542	33inc_excluded	n/a
495.059	2.625	33inc_excluded	n/a
497.701	2.625	33inc_excluded	n/a
500.342	3.555	33inc_included	0.581
503.964	2.475	33inc_excluded	n/a
506.456	1.960	33inc_excluded	n/a
508.433	2.492	33inc_excluded	n/a
