onset	duration	trial_type	response_time
0.772	2.691	100inc_excluded	n/a
3.480	3.688	100inc_included	0.416
7.234	2.374	100inc_excluded	n/a
9.643	3.057	100inc_included	0.601
12.783	2.741	100inc_excluded	n/a
15.541	3.273	100inc_included	0.470
35.017	13.000	Fixation	n/a
31.905	2.592	66inc_excluded	n/a
34.513	2.874	66inc_excluded	n/a
37.404	2.874	66inc_included	0.501
40.344	3.223	66inc_included	0.646
43.650	2.060	66inc_excluded	n/a
45.727	2.176	66inc_excluded	n/a
47.920	2.409	66inc_excluded	n/a
66.482	13.000	Fixation	n/a
63.370	2.741	0inc_excluded	n/a
66.128	2.741	0inc_excluded	n/a
68.885	2.409	0inc_excluded	n/a
71.311	2.442	0inc_excluded	n/a
73.770	2.259	0inc_excluded	n/a
76.046	2.409	0inc_excluded	n/a
78.471	2.841	0inc_excluded	n/a
81.329	2.475	0inc_excluded	n/a
83.821	2.608	0inc_excluded	n/a
102.583	13.000	Fixation	n/a
99.470	2.359	33inc_excluded	n/a
101.846	2.093	33inc_excluded	n/a
103.956	2.891	33inc_excluded	n/a
106.863	2.774	33inc_excluded	n/a
109.654	3.323	33inc_included	0.581
113.043	2.625	33inc_excluded	n/a
115.685	2.259	33inc_excluded	n/a
117.961	2.542	33inc_excluded	n/a
136.656	13.000	Fixation	n/a
133.544	2.857	66inc_excluded	n/a
136.418	2.392	66inc_excluded	n/a
138.827	2.891	66inc_included	0.556
141.784	3.555	66inc_included	0.625
145.405	2.276	66inc_excluded	n/a
147.698	2.209	66inc_excluded	n/a
149.924	2.426	66inc_excluded	n/a
168.504	13.000	Fixation	n/a
165.391	2.558	100inc_excluded	n/a
167.966	3.090	100inc_included	0.498
171.139	1.994	100inc_excluded	n/a
173.149	2.542	100inc_included	0.489
175.758	2.891	100inc_excluded	n/a
178.665	3.505	100inc_included	0.514
198.374	13.000	Fixation	n/a
195.261	2.642	33inc_excluded	n/a
197.919	2.093	33inc_excluded	n/a
200.029	2.392	33inc_excluded	n/a
202.438	2.758	33inc_excluded	n/a
205.213	3.156	33inc_included	0.468
208.452	2.210	33inc_excluded	n/a
210.678	2.592	33inc_excluded	n/a
213.287	2.808	33inc_excluded	n/a
232.248	13.000	Fixation	n/a
229.136	2.326	0inc_excluded	n/a
231.478	2.110	0inc_excluded	n/a
233.605	2.409	0inc_excluded	n/a
236.030	2.857	0inc_excluded	n/a
238.904	2.691	0inc_excluded	n/a
241.612	2.193	0inc_excluded	n/a
243.821	2.210	0inc_excluded	n/a
246.048	2.010	0inc_excluded	n/a
248.074	2.724	0inc_excluded	n/a
266.953	13.000	Fixation	n/a
263.840	2.791	33inc_excluded	n/a
266.648	2.027	33inc_excluded	n/a
268.691	2.675	33inc_excluded	n/a
271.383	2.392	33inc_excluded	n/a
273.792	3.522	33inc_included	0.577
277.380	2.824	33inc_excluded	n/a
280.221	2.060	33inc_excluded	n/a
282.298	2.808	33inc_excluded	n/a
301.259	13.000	Fixation	n/a
298.146	2.592	100inc_excluded	n/a
300.755	2.957	100inc_included	0.519
303.795	2.525	100inc_excluded	n/a
306.337	3.273	100inc_included	0.507
309.676	2.774	100inc_excluded	n/a
312.467	3.306	100inc_included	0.477
331.993	13.000	Fixation	n/a
328.881	2.891	0inc_excluded	n/a
331.788	2.774	0inc_excluded	n/a
334.579	1.994	0inc_excluded	n/a
336.589	2.326	0inc_excluded	n/a
338.932	1.944	0inc_excluded	n/a
340.892	2.209	0inc_excluded	n/a
343.118	2.077	0inc_excluded	n/a
345.211	2.409	0inc_excluded	n/a
347.637	2.525	0inc_excluded	n/a
366.316	13.000	Fixation	n/a
363.203	2.691	66inc_excluded	n/a
365.911	2.758	66inc_excluded	n/a
368.686	3.057	66inc_included	0.631
371.809	3.273	66inc_included	0.804
375.148	2.293	66inc_excluded	n/a
377.457	2.558	66inc_excluded	n/a
380.032	2.010	66inc_excluded	n/a
398.196	13.000	Fixation	n/a
395.084	2.127	0inc_excluded	n/a
397.227	2.642	0inc_excluded	n/a
399.885	2.425	0inc_excluded	n/a
402.327	1.994	0inc_excluded	n/a
404.337	1.994	0inc_excluded	n/a
406.348	2.841	0inc_excluded	n/a
409.205	2.409	0inc_excluded	n/a
411.631	2.558	0inc_excluded	n/a
414.206	1.927	0inc_excluded	n/a
432.286	13.000	Fixation	n/a
429.174	2.691	100inc_excluded	n/a
431.882	3.107	100inc_included	0.564
435.072	1.977	100inc_excluded	n/a
437.065	2.592	100inc_included	0.534
439.740	2.741	100inc_excluded	n/a
442.498	2.592	100inc_included	0.516
461.310	13.000	Fixation	n/a
458.197	2.575	66inc_excluded	n/a
460.789	1.944	66inc_excluded	n/a
462.749	3.156	66inc_included	0.459
465.972	3.422	66inc_included	0.529
469.477	2.027	66inc_excluded	n/a
471.521	2.592	66inc_excluded	n/a
474.129	2.724	66inc_excluded	n/a
493.007	13.000	Fixation	n/a
489.895	2.592	33inc_excluded	n/a
492.503	2.741	33inc_excluded	n/a
495.261	2.293	33inc_excluded	n/a
497.570	2.176	33inc_excluded	n/a
499.763	2.558	33inc_included	0.487
502.405	2.791	33inc_excluded	n/a
505.212	1.994	33inc_excluded	n/a
507.222	2.592	33inc_excluded	n/a
